Country Name,Country Code,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,0.527983105,0.141163456,0.141163456,0.141163749,0.141163749,0.141163749,0.141163749
,AFE,14.37991359,14.97447194,14.97446607,15.21441263,14.78328536,14.95409018,
Afganistán,AFG,0.10470704,0.104707035,0.104707035,0.104707035,3.637256595,3.637256595,3.637256595
,AFW,13.78676096,14.19842267,14.19842267,14.22539608,14.26408633,14.33234693,
Angola,AGO,5.004713342,5.004710827,5.004710827,5.004709762,5.004709762,5.004709762,5.004709762
Albania,ALB,13.14774946,13.52568255,13.52568255,14.17392896,14.17392896,14.17519749,14.17519727
Andorra,AND,21.19093028,26.72772478,26.72772478,26.72772469,26.72772469,26.85726589,26.85726589
El mundo árabe,ARB,4.283906016,4.589170669,4.589170669,4.599986328,3.365437515,3.335015514,
Emiratos Árabes Unidos,ARE,9.235667522,15.04389477,15.04389477,15.04388956,15.92366583,15.92366583,15.92366583
Argentina,ARG,7.528593349,7.40512875,7.40512875,9.393165071,9.397976297,9.397976297,9.552645644
Armenia,ARM,23.10900308,23.11050281,23.11050281,24.30540452,24.30540452,24.30540452,24.68101624
Samoa Americana,ASM,8.708521753,8.71956554,8.71956554,8.71956492,0.002643564,8.727427997,8.727427997
Antigua y Barbuda,ATG,0.271690244,0.258339766,0.258339766,0.258338852,0.386017525,0.381997433,0.381997433
Australia,AUS,28.59184172,29.70879373,29.70879373,29.70879262,30.39552785,32.12041507,32.12041507
Austria,AUT,28.44398259,28.39798166,28.39798166,28.41688362,29.0943193,29.28332963,29.50046673
Azerbaiyán,AZE,5.518745809,5.519156836,5.519156836,5.519152878,5.519152878,5.519152879,5.519152879
Burundi,BDI,7.592545634,7.591471706,7.591471706,7.591471712,7.591471712,7.591471712,7.591471712
Bélgica,BEL,24.57816225,24.64917303,24.64917303,26.10538805,17.57923924,17.6376554,17.83818978
Benin,BEN,28.87194497,23.47190856,23.47190856,23.45670082,23.45710611,23.48777016,23.48777016
Burkina Faso,BFA,15.08481978,14.92288055,14.92288055,14.89044131,16.40167907,16.42637409,16.42637409
Bangladesh,BGD,4.88867648,4.888648581,4.888648581,4.88855578,4.88855578,4.88855578,4.88855578
Bulgaria,BGR,28.28713195,28.29699048,28.29699048,32.76484246,33.11164663,33.11200426,33.11222907
Bahrein,BHR,1.694772648,1.686352006,1.686352006,1.686399946,1.686399946,1.686399949,20.45128933
Bahamas,BHS,1.240258124,8.555106417,8.555106417,8.555104534,8.555104534,8.555104534,8.555104534
Bosnia y Herzegovina,BIH,1.452410142,1.395147508,1.395147508,1.395153956,3.625851494,3.970655659,4.062651183
Belarús,BLR,9.511258367,9.353493353,9.353493353,9.353493569,9.353493569,13.84298665,13.84298665
Belice,BLZ,20.59179198,20.59045099,20.59045099,20.59043294,21.1221027,21.1221027,21.1221027
Bermudas,BMU,0.033870824,0.000390137,0.000390137,0.000390137,0.000390137,0.000390137,0.000390137
Bolivia,BOL,30.86551546,30.8654915,30.8654915,30.86556812,30.86556812,30.86556812,30.86556812
Brasil,BRA,20.73728423,28.57825261,28.57825261,28.5782512,29.23720831,29.25630489,29.25630489
Barbados,BRB,0.009166204,0.008873615,0.008873615,0.008606202,0.008606202,0.008606202,0.008606202
Brunei Darussalam,BRN,8.989232504,8.98950186,8.98950186,8.989383042,8.989383042,8.989383043,8.989383043
Bhután,BTN,48.00731216,48.00785105,48.00785105,48.00785091,49.66933585,49.66933582,49.66933582
